Variable,HR_preventif,HR_correctif,p_prev,p_corr,ratio_HR,sig_prev,sig_corr
nb_fuites_detectees,0.40564692729743224,257.5318811035031,1.9288395204837325e-34,0.0,634.8670821181229,***,***
mat_FTG,0.7335890472736787,1.5655493080102254,1.3364550371608144e-75,8.20843320766596e-32,2.1340958044949776,***,***
LNG_log,0.781065105329685,1.61710941414959,0.0,0.0,2.0703900393386716,***,***
mat_FTVI,0.5767892906585561,0.9940763346149348,1.3888788082015673e-22,0.9487287212787614,1.7234653117084338,***,ns
mat_POLY,0.8814157164516465,1.378617935487773,3.520330738790698e-05,5.756131471506095e-05,1.5640950232175743,***,***
mat_ACIE,0.8823808389850115,1.2383797276987005,0.036231149316463276,0.1872808702354302,1.4034526510380583,*,ns
DT_FLUX_CIRCULATION_imp,0.8605642423341703,1.0889007110025648,3.342032627286016e-71,4.252564941726653e-06,1.2653334375700542,***,***
mat_PVC,0.980392739208087,1.1423079001767416,0.6698109647496493,0.28310992442674543,1.1651533660882083,ns,ns
mat_AUTRE,1.2588024956265706,1.278877252366568,0.008425461680969864,0.3439762889529734,1.0159475031307472,**,ns
DT_NB_LOGEMENT_imp,0.9994613665835588,1.0008263476891592,1.283853985254007e-55,0.0,1.0013657167262666,***,***
DIAMETRE_imp,0.9996451353720703,0.9976357415561045,1.008179415254106e-07,1.308112806468043e-56,0.9979898928681147,***,***
DDP_year,1.0486095064853986,1.0049659724128828,0.0,1.3176833568199176e-09,0.9583796124271322,***,***
mat_BTM,0.6486002841620564,0.1324583481174915,5.569148252887577e-11,3.911059339522679e-24,0.2042218471868508,***,***
mat_PEHD,0.9067712138824734,0.0700648946500866,0.022666737237357248,8.832578371117502e-123,0.0772685475425422,*,***
nb_anomalies,0.7311269423905539,0.006882046500203179,6.83875750689724e-81,0.0,0.009412929685918925,***,***
nb_fuites_signalees,0.7281994008700857,0.003117209108235022,1.623414974172255e-75,0.0,0.0042807081473981426,***,***
taux_anomalie_par_an,0.00852998669014383,3.855334049888746e-43,1.7792536191112696e-18,0.0,4.5197421636583335e-41,***,***
