covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
DIAMETRE_imp,-0.0023670577158957052,0.9976357415561045,0.00014929855034413882,-0.0026596774975142573,-0.002074437934277153,0.9973438563110565,0.9979277122250468,0.0,-15.854525783670018,1.308112806468043e-56,185.6404863551846
LNG_log,0.48064024320969345,1.61710941414959,0.011138241213759321,0.4588096915796055,0.5024707948397814,1.5821895701315463,1.6527999594345768,0.0,43.15225662521545,0.0,inf
DDP_year,0.00495368264219494,1.0049659724128828,0.0008167350640772078,0.003352911331692599,0.0065544539526972805,1.0033585386264074,1.006575981393846,0.0,6.065225873205141,1.3176833568199176e-09,29.49934912584726
nb_anomalies,-4.978839214843395,0.006882046500203179,0.018415599783057103,-5.014933127171891,-4.9427453025149,0.006638075929279989,0.007134983771735207,0.0,-270.35987279784797,0.0,inf
nb_fuites_signalees,-5.770817194070797,0.003117209108235022,0.019543662271896876,-5.809122068249729,-5.732512319891865,0.0030000627668494992,0.003238929775681872,0.0,-295.27818859053025,0.0,inf
nb_fuites_detectees,5.551143522550643,257.5318811035031,0.09038949901597354,5.373983359898716,5.728303685202571,215.72045073224368,307.4472983881803,0.0,61.41358877948478,0.0,inf
taux_anomalie_par_an,-97.66170134181525,3.855334049888746e-43,0.5626413396539911,-98.76445810375044,-96.55894457988005,1.2797962620555964e-43,1.1614036606387482e-42,0.0,-173.57718755943972,0.0,inf
DT_NB_LOGEMENT_imp,0.0008260064518816737,1.0008263476891592,5.472377537852302e-06,0.0008152807889976772,0.0008367321147656701,1.0008156132207158,1.0008370822727375,0.0,150.94105736824756,0.0,inf
DT_FLUX_CIRCULATION_imp,0.08516866532454127,1.0889007110025648,0.018520400072736212,0.0488693482027053,0.12146798244637724,1.0500831465268323,1.1291532126228572,0.0,4.598640687569036,4.252564941726653e-06,17.843235301597396
mat_FTG,0.44823675794128476,1.5655493080102254,0.038189151801819816,0.373387395809585,0.5230861200729845,1.4526469801964135,1.6872266071691429,0.0,11.737279745498958,8.20843320766596e-32,103.26459216387424
mat_FTVI,-0.0059412798869194604,0.9940763346149348,0.09239462599191767,-0.18703141919612645,0.17514885942228756,0.8294176763393696,1.1914235580351087,0.0,-0.06430330577277493,0.9487287212787614,0.07593247172407562
mat_PEHD,-2.658333399963647,0.0700648946500866,0.11280904130337369,-2.8794350580487507,-2.437231741878543,0.056166484676238145,0.08740246947312653,0.0,-23.56489665411372,8.832578371117502e-123,405.454321025997
mat_POLY,0.3210815013135348,1.378617935487773,0.07981956714455007,0.16463802444864006,0.47752497817842954,1.178966284493411,1.6120795285212342,0.0,4.022591361991088,5.756131471506095e-05,14.084540930460799
mat_PVC,0.1330506897600604,1.1423079001767416,0.12395726758032484,-0.10990109031937073,0.37600246983949154,0.8959227463469203,1.4564507309661767,0.0,1.0733593306567764,0.28310992442674543,1.8205657710400682
mat_BTM,-2.0214870368056355,0.1324583481174915,0.1994794661486934,-2.4124596061123516,-1.6305144674989194,0.08959465577823081,0.19582880065350505,0.0,-10.13381014013144,3.911059339522679e-24,77.75871485214743
mat_ACIE,0.21380385396699844,1.2383797276987005,0.1621364992070289,-0.10397784505818528,0.5315855529921821,0.9012452642364122,1.7016281924925845,0.0,1.3186657847718575,0.1872808702354302,2.4167245515581253
mat_AUTRE,0.24598254642473508,1.278877252366568,0.25993100024789584,-0.2634728525266127,0.7554379453760828,0.7683784816904723,2.1285435050476926,0.0,0.9463378596248306,0.3439762889529734,1.539618974695287
