param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,DIAMETRE_imp,4.435758662920467e-05,1.0000443585704415,3.369646050891567e-05,-2.1686262374746274e-05,0.00011040143563315561,0.9999783139727706,1.0001104075300957,0.0,1.316387120762081,0.18804414297119726,2.4108567235689766
lambda_,DT_FLUX_CIRCULATION_imp,0.07571175230859448,1.0786516105056005,0.004168414189444725,0.0675418106246371,0.08388169399255185,1.0698749908044247,1.0875002283879107,0.0,18.163202807511805,1.0095917379589286e-73,242.4869789176582
lambda_,DT_NB_LOGEMENT_imp,0.0002950100853598549,1.0002950536051145,2.0183871247173087e-05,0.0002554504246468021,0.00033456974607290767,1.0002554830548849,1.0003346257207728,0.0,14.616129965710785,2.2164623834786903e-48,158.30428967647066
lambda_,LNG_log,0.10322265016405692,1.1087382423478083,0.002400621339814885,0.09851751879750145,0.10792778153061239,1.1035337368091218,1.1139672934685632,0.0,42.99830566865516,0.0,inf
lambda_,mat_ACIE,0.1007193935354171,1.1059662569361588,0.02874159688609899,0.04438689878049452,0.1570518882903397,1.0453867355093287,1.1700563245480962,0.0,3.5043075001907953,0.0004577964084193155,11.09300623508304
lambda_,mat_AUTRE,-0.057076833682854385,0.9445214955134654,0.04111140647209731,-0.13765370972195198,0.02350004235624322,0.8714003969897517,1.0237783441100328,0.0,-1.3883454393999621,0.16503188183951234,2.5991833350913955
lambda_,mat_BTM,0.28079047818049513,1.3241761310756353,0.03376663808911143,0.21460908364683834,0.3469718727141519,1.2393773093976492,1.4147769309756284,0.0,8.315618434961706,9.12750417284907e-17,53.28255718986353
lambda_,mat_FTG,0.17429405560017924,1.1904055597803367,0.006326292691555289,0.16189474976907192,0.18669336143128656,1.1757364882716943,1.2052576498999283,0.0,27.550741658355026,4.33574573694775e-167,552.6457116916196
lambda_,mat_FTVI,-0.5431687478589584,0.5809045926859886,0.04263257141515256,-0.6267270524009892,-0.4596104433169276,0.5343378017891661,0.6315296141762063,0.0,-12.740698715299734,3.5123501373160466e-37,121.09890284016457
lambda_,mat_PEHD,-0.06313031790376993,0.9388211205164613,0.021907908196358395,-0.10606902894524223,-0.020191606862297616,0.8993625638839703,0.9800108785064955,0.0,-2.8816223501549842,0.003956336013630568,7.9816193245377045
lambda_,mat_POLY,0.0716419074030109,1.0742705868342588,0.014166661559116655,0.0438757609659742,0.09940805384004758,1.044852535354592,1.1045169099824885,0.0,5.057077639926201,4.257299461369517e-07,21.163558090362134
lambda_,mat_PVC,0.0691231042767592,1.0715681156469274,0.02274498625902877,0.0245437503802044,0.11370245817331401,1.0248474275909933,1.1204187038554636,0.0,3.039047968178936,0.0023732706293700338,8.718907660999971
lambda_,nb_anomalies,-0.004907014231674952,0.995105005494301,0.014722452510891607,-0.03376249091712379,0.023948462453773887,0.9668011014136879,1.0242375298413093,0.0,-0.33330141347338454,0.7389067725312428,0.43653574308875714
lambda_,nb_fuites_detectees,0.06280017952293043,1.0648140463210969,0.021255199293673813,0.02114075442310856,0.1044596046227523,1.0213658032748747,1.1101105496260342,0.0,2.954579660968959,0.003130953107308057,8.319182383454981
lambda_,nb_fuites_signalees,-0.007747747772452114,0.9922821886621147,0.014727288297828588,-0.03661270242613434,0.021117206881230116,0.9640494370630242,1.0213417529040134,0.0,-0.5260810826657377,0.5988318718325674,0.739777086398302
lambda_,Intercept,3.980869029482534,53.56356232226748,0.016809500100912526,3.947923014686623,4.013815044278445,51.827609784313786,55.35766014661522,0.0,236.8225709024165,0.0,inf
rho_,Intercept,0.7930221284486414,2.2100654455199575,0.005400858543367085,0.7824366402180465,0.8036076166792363,2.186794209753445,2.2335843270922275,0.0,146.8326048684555,0.0,inf
